packetGen Network.nodeTx.gen (#0 - General-0-20250513-01:08:36-15073),,bufferSize Network.nodeTx.traTx (#0 - General-0-20250513-01:08:36-15073),,bufferSize Network.queue (#0 - General-0-20250513-01:08:36-15073),,bufferSize Network.nodeRx.traRx (#0 - General-0-20250513-01:08:36-15073),,Delay Network.nodeRx.sink (#0 - General-0-20250513-01:08:36-15073),,packetUsed Network.nodeRx.sink (#0 - General-0-20250513-01:08:36-15073),,bufferSize Network.appQueue (#0 - General-0-20250513-01:08:36-15073),
0.198968626141,1,0.198968626141,1,0.299068626141,1,0.499168626141,1,0.599168626141,0.4002,0.599168626141,1,1.502692465793,1
0.423608723262,1,0.423608723262,1,0.523708723262,1,0.723808723262,1,0.823808723262,0.4002,0.823808723262,1,2.221384582632,1
0.737591412774,1,0.737591412774,1,0.837691412774,1,1.037791412774,1,1.137791412774,0.4002,1.137791412774,1,2.887925881178,1
1.202492465793,1,1.202492465793,1,1.302592465793,1,1.502692465793,1,1.602692465793,0.4002,1.602692465793,1,3.087925881178,1
1.433298248661,1,1.433298248661,1,1.533398248661,1,1.733498248661,1,1.833498248661,0.4002,1.833498248661,1,3.52947943461,1
1.921184582632,1,1.921184582632,1,2.021284582632,1,2.221384582632,1,2.321384582632,0.4002,2.321384582632,1,3.72947943461,1
2.117984867627,1,2.117984867627,1,2.218084867627,1,2.421384582632,1,2.521384582632,0.403399715004999935,2.521384582632,1,3.92947943461,1
2.587725881178,1,2.587725881178,1,2.687825881178,1,2.887925881178,1,2.987925881178,0.4002,2.987925881178,1,4.12947943461,1
2.725488002846,1,2.725488002846,1,2.825588002846,1,3.087925881178,1,3.187925881178,0.462437878332000005,3.187925881178,1,4.438812165054,1
2.969739609444,1,2.969739609444,1,3.069839609444,1,3.287925881178,1,3.387925881178,0.418186271734000023,3.387925881178,1,5.282136402309,1
3.22927943461,1,3.22927943461,1,3.32937943461,1,3.52947943461,1,3.62947943461,0.4002,3.62947943461,1,5.682136402309,1
3.35056147554,1,3.35056147554,1,3.45066147554,1,3.72947943461,1,3.82947943461,0.478917959070000007,3.82947943461,1,5.882136402309,1
3.494441274761,1,3.494441274761,1,3.594541274761,1,3.92947943461,1,4.02947943461,0.535038159848999936,4.02947943461,1,6.082136402309,1
3.582731059545,1,3.582731059545,1,3.694541274761,2,4.12947943461,1,4.22947943461,0.646748375065000045,4.22947943461,1,6.455264380306,1
4.138612165054,1,4.138612165054,1,4.238712165054,1,4.438812165054,1,4.538812165054,0.4002,4.538812165054,1,6.655264380306,1
4.153208332327,1,4.153208332327,1,4.338712165054,1,4.638812165054,1,4.738812165054,0.585603832726999892,4.738812165054,1,6.855264380306,1
4.981936402309,1,4.981936402309,1,5.082036402309,1,5.282136402309,1,5.382136402309,0.4002,5.382136402309,1,7.055264380306,1
5.061525437519,1,5.061525437519,1,5.182036402309,1,5.482136402309,1,5.582136402309,0.520610964789999906,5.582136402309,1,7.255264380306,1
5.182425963756,1,5.182425963756,1,5.282525963756,1,5.682136402309,1,5.782136402309,0.599710438552999877,5.782136402309,1,7.79104328738,1
5.344787550819,1,5.344787550819,1,5.444887550819,2,5.882136402309,1,5.982136402309,0.637348851489999865,5.982136402309,1,8.243135603449,1
5.737011580225,1,5.737011580225,1,5.837111580225,1,6.082136402309,1,6.182136402309,0.445124822083999947,6.182136402309,1,8.443135603449,1
6.155064380306,1,6.155064380306,1,6.255164380306,1,6.455264380306,1,6.555264380306,0.4002,6.555264380306,1,8.643135603449,1
6.343232908634,1,6.343232908634,1,6.443332908634,1,6.655264380306,1,6.755264380306,0.412031471671999936,6.755264380306,1,8.843135603449,1
6.506703550439,1,6.506703550439,1,6.606803550439,1,6.855264380306,1,6.955264380306,0.448560829866999964,6.955264380306,1,9.043135603449,1
6.716561763664,1,6.716561763664,1,6.816661763664,1,7.055264380306,1,7.155264380306,0.438702616641999941,7.155264380306,1,9.243135603449,1
6.841279765918,1,6.841279765918,1,6.941379765918,1,7.255264380306,1,7.355264380306,0.513984614388000025,7.355264380306,1,9.443135603449,1
7.49084328738,1,7.49084328738,1,7.59094328738,1,7.79104328738,1,7.89104328738,0.4002,7.89104328738,1,10.002727654427,1
