packetGen Network.nodeTx.gen (#0 - General-0-20250513-01:09:24-15262),,bufferSize Network.nodeTx.traTx (#0 - General-0-20250513-01:09:24-15262),,bufferSize Network.queue (#0 - General-0-20250513-01:09:24-15262),,bufferSize Network.nodeRx.traRx (#0 - General-0-20250513-01:09:24-15262),,Delay Network.nodeRx.sink (#0 - General-0-20250513-01:09:24-15262),,packetUsed Network.nodeRx.sink (#0 - General-0-20250513-01:09:24-15262),,bufferSize Network.appQueue (#0 - General-0-20250513-01:09:24-15262),
0.119381175685,1,0.119381175685,1,0.219481175685,1,0.419581175685,1,0.519581175685,0.4002,0.519581175685,1,0.619581175685,1
0.254165233958,1,0.254165233958,1,0.354265233958,1,0.619581175685,1,0.719581175685,0.465415941726999957,0.719581175685,1,0.819581175685,1
0.442554847665,1,0.442554847665,1,0.542654847665,1,0.819581175685,1,0.919581175685,0.47702632802,0.919581175685,1,1.021695479476,1
0.721495479476,1,0.721495479476,1,0.821595479476,1,1.021695479476,1,1.121695479476,0.4002,1.121695479476,1,1.221695479476,1
0.859978949197,1,0.859978949197,1,0.960078949197,1,1.221695479476,1,1.321695479476,0.461716530278999946,1.321695479476,1,1.45291074958,1
1.15271074958,1,1.15271074958,1,1.25281074958,1,1.45291074958,1,1.55291074958,0.4002,1.55291074958,1,1.65291074958,1
1.270790920577,1,1.270790920577,1,1.370890920577,1,1.65291074958,1,1.75291074958,0.482119829002999986,1.75291074958,1,1.85291074958,1
1.552635528707,1,1.552635528707,1,1.652735528707,1,1.85291074958,1,1.95291074958,0.400275220872999935,1.95291074958,1,2.05291074958,1
1.635292801708,1,1.635292801708,1,1.757735528707,1,2.05291074958,1,2.15291074958,0.517617947871999992,2.15291074958,1,2.25291074958,1
1.781843765667,1,1.781843765667,1,1.881943765667,1,2.25291074958,1,2.35291074958,0.571066983913000035,2.35291074958,1,2.45291074958,1
1.937567660767,1,1.937567660767,1,2.037667660767,2,2.45291074958,1,2.55291074958,0.615343088813000037,2.55291074958,1,2.65291074958,1
2.010336885325,1,2.010336885325,1,2.142667660767,2,2.65291074958,1,2.75291074958,0.742573864254999935,2.75291074958,1,2.85291074958,1
2.096664764857,1,2.096664764857,1,2.247667660767,3,2.85291074958,1,2.95291074958,0.856245984722999948,2.95291074958,1,3.05291074958,1
2.149638635728,1,2.149638635728,1,2.352667660767,3,3.05291074958,1,3.15291074958,1.003272113851999765,3.15291074958,1,3.25291074958,1
